sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-S3-A6ZH-01	TCGA-S3-A6ZH-01	6.758	Primary Tumor	TCGA	Breast
TCGA-E2-A155-01	TCGA-E2-A155-01	6.753	Primary Tumor	TCGA	Breast
TCGA-E2-A1B4-01	TCGA-E2-A1B4-01	6.749	Primary Tumor	TCGA	Breast
TCGA-AN-A0XT-01	TCGA-AN-A0XT-01	6.728	Primary Tumor	TCGA	Breast
TCGA-A8-A09E-01	TCGA-A8-A09E-01	6.727	Primary Tumor	TCGA	Breast
TCGA-E2-A15T-01	TCGA-E2-A15T-01	6.723	Primary Tumor	TCGA	Breast
TCGA-D8-A1JM-01	TCGA-D8-A1JM-01	6.717	Primary Tumor	TCGA	Breast
TCGA-D8-A1XR-01	TCGA-D8-A1XR-01	6.694	Primary Tumor	TCGA	Breast
TCGA-AR-A24H-01	TCGA-AR-A24H-01	6.68	Primary Tumor	TCGA	Breast
GTEX-U8XE-0826-SM-4E3J1	GTEX-U8XE-0826-SM-4E3J1	6.651	Normal Tissue	GTEX	Breast
TCGA-D8-A1XC-01	TCGA-D8-A1XC-01	6.646	Primary Tumor	TCGA	Breast
TCGA-A8-A06Z-01	TCGA-A8-A06Z-01	6.622	Primary Tumor	TCGA	Breast
TCGA-D8-A1XL-01	TCGA-D8-A1XL-01	6.609	Primary Tumor	TCGA	Breast
TCGA-B6-A0I1-01	TCGA-B6-A0I1-01	6.573	Primary Tumor	TCGA	Breast
TCGA-E2-A14W-01	TCGA-E2-A14W-01	6.569	Primary Tumor	TCGA	Breast
TCGA-WT-AB41-01	TCGA-WT-AB41-01	6.558	Primary Tumor	TCGA	Breast
TCGA-C8-A12U-01	TCGA-C8-A12U-01	6.527	Primary Tumor	TCGA	Breast
TCGA-LQ-A4E4-01	TCGA-LQ-A4E4-01	6.518	Primary Tumor	TCGA	Breast
TCGA-S3-AA12-01	TCGA-S3-AA12-01	6.51	Primary Tumor	TCGA	Breast
TCGA-EW-A6SA-01	TCGA-EW-A6SA-01	6.489	Primary Tumor	TCGA	Breast
TCGA-BH-A0HL-01	TCGA-BH-A0HL-01	6.451	Primary Tumor	TCGA	Breast
TCGA-AN-A0FL-01	TCGA-AN-A0FL-01	6.45	Primary Tumor	TCGA	Breast
TCGA-D8-A1XF-01	TCGA-D8-A1XF-01	6.441	Primary Tumor	TCGA	Breast
TCGA-B6-A0X4-01	TCGA-B6-A0X4-01	6.43	Primary Tumor	TCGA	Breast
TCGA-E9-A3HO-01	TCGA-E9-A3HO-01	6.426	Primary Tumor	TCGA	Breast
TCGA-BH-A1F5-01	TCGA-BH-A1F5-01	6.381	Primary Tumor	TCGA	Breast
TCGA-B6-A0WV-01	TCGA-B6-A0WV-01	6.35	Primary Tumor	TCGA	Breast
TCGA-A2-A0ET-01	TCGA-A2-A0ET-01	6.337	Primary Tumor	TCGA	Breast
TCGA-BH-A18L-01	TCGA-BH-A18L-01	6.337	Primary Tumor	TCGA	Breast
TCGA-EW-A1PB-01	TCGA-EW-A1PB-01	6.334	Primary Tumor	TCGA	Breast
TCGA-B6-A0WZ-01	TCGA-B6-A0WZ-01	6.326	Primary Tumor	TCGA	Breast
TCGA-A7-A3RF-01	TCGA-A7-A3RF-01	6.323	Primary Tumor	TCGA	Breast
TCGA-AC-A62X-01	TCGA-AC-A62X-01	6.323	Primary Tumor	TCGA	Breast
TCGA-E2-A1LG-01	TCGA-E2-A1LG-01	6.297	Primary Tumor	TCGA	Breast
TCGA-AO-A1KP-01	TCGA-AO-A1KP-01	6.293	Primary Tumor	TCGA	Breast
TCGA-5T-A9QA-01	TCGA-5T-A9QA-01	6.273	Primary Tumor	TCGA	Breast
TCGA-LL-A6FP-01	TCGA-LL-A6FP-01	6.27	Primary Tumor	TCGA	Breast
TCGA-D8-A1JS-01	TCGA-D8-A1JS-01	6.252	Primary Tumor	TCGA	Breast
TCGA-AO-A1KR-01	TCGA-AO-A1KR-01	6.213	Primary Tumor	TCGA	Breast
TCGA-E2-A156-01	TCGA-E2-A156-01	6.212	Primary Tumor	TCGA	Breast
TCGA-E2-A572-01	TCGA-E2-A572-01	6.194	Primary Tumor	TCGA	Breast
TCGA-B6-A0IC-01	TCGA-B6-A0IC-01	6.181	Primary Tumor	TCGA	Breast
TCGA-C8-A12M-01	TCGA-C8-A12M-01	6.181	Primary Tumor	TCGA	Breast
TCGA-AO-A12B-01	TCGA-AO-A12B-01	6.178	Primary Tumor	TCGA	Breast
TCGA-AO-A0JI-01	TCGA-AO-A0JI-01	6.168	Primary Tumor	TCGA	Breast
TCGA-AO-A124-01	TCGA-AO-A124-01	6.162	Primary Tumor	TCGA	Breast
TCGA-A8-A083-01	TCGA-A8-A083-01	6.123	Primary Tumor	TCGA	Breast
TCGA-BH-A0H0-01	TCGA-BH-A0H0-01	6.119	Primary Tumor	TCGA	Breast
TCGA-AO-A0J3-01	TCGA-AO-A0J3-01	6.095	Primary Tumor	TCGA	Breast
TCGA-D8-A1JN-01	TCGA-D8-A1JN-01	6.095	Primary Tumor	TCGA	Breast
TCGA-AR-A0TR-01	TCGA-AR-A0TR-01	6.07	Primary Tumor	TCGA	Breast
TCGA-E9-A54Y-01	TCGA-E9-A54Y-01	6.059	Primary Tumor	TCGA	Breast
TCGA-B6-A0IB-01	TCGA-B6-A0IB-01	6.019	Primary Tumor	TCGA	Breast
TCGA-AC-A4ZE-01	TCGA-AC-A4ZE-01	5.985	Primary Tumor	TCGA	Breast
TCGA-AC-A7VB-01	TCGA-AC-A7VB-01	5.962	Primary Tumor	TCGA	Breast
TCGA-C8-A133-01	TCGA-C8-A133-01	5.941	Primary Tumor	TCGA	Breast
TCGA-C8-A1HM-01	TCGA-C8-A1HM-01	5.91	Primary Tumor	TCGA	Breast
TCGA-BH-A0HW-01	TCGA-BH-A0HW-01	5.874	Primary Tumor	TCGA	Breast
TCGA-A8-A06N-01	TCGA-A8-A06N-01	5.863	Primary Tumor	TCGA	Breast
TCGA-E9-A54X-01	TCGA-E9-A54X-01	5.721	Primary Tumor	TCGA	Breast
TCGA-AO-A125-01	TCGA-AO-A125-01	5.666	Primary Tumor	TCGA	Breast
TCGA-UU-A93S-01	TCGA-UU-A93S-01	5.634	Primary Tumor	TCGA	Breast
TCGA-EW-A1OX-01	TCGA-EW-A1OX-01	5.543	Primary Tumor	TCGA	Breast
TCGA-E9-A5UO-01	TCGA-E9-A5UO-01	5.524	Primary Tumor	TCGA	Breast
TCGA-BH-A0EE-01	TCGA-BH-A0EE-01	5.474	Primary Tumor	TCGA	Breast
TCGA-B6-A0IA-01	TCGA-B6-A0IA-01	5.418	Primary Tumor	TCGA	Breast
TCGA-E2-A15K-06	TCGA-E2-A15K-06	5.292	Metastatic	TCGA	Breast
TCGA-B6-A0RL-01	TCGA-B6-A0RL-01	5.152	Primary Tumor	TCGA	Breast
TCGA-A8-A08B-01	TCGA-A8-A08B-01	4.266	Primary Tumor	TCGA	Breast
