sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-PE-A5DD-01	TCGA-PE-A5DD-01	7.798	Primary Tumor	TCGA	Breast
TCGA-A7-A4SC-01	TCGA-A7-A4SC-01	7.795	Primary Tumor	TCGA	Breast
TCGA-AR-A24Q-01	TCGA-AR-A24Q-01	7.795	Primary Tumor	TCGA	Breast
TCGA-AN-A0FY-01	TCGA-AN-A0FY-01	7.793	Primary Tumor	TCGA	Breast
TCGA-OK-A5Q2-01	TCGA-OK-A5Q2-01	7.793	Primary Tumor	TCGA	Breast
TCGA-A2-A0CR-01	TCGA-A2-A0CR-01	7.792	Primary Tumor	TCGA	Breast
TCGA-A7-A0DC-01	TCGA-A7-A0DC-01	7.789	Primary Tumor	TCGA	Breast
TCGA-A1-A0SE-01	TCGA-A1-A0SE-01	7.786	Primary Tumor	TCGA	Breast
TCGA-E2-A15S-01	TCGA-E2-A15S-01	7.786	Primary Tumor	TCGA	Breast
TCGA-A8-A06Q-01	TCGA-A8-A06Q-01	7.785	Primary Tumor	TCGA	Breast
TCGA-BH-A18Q-01	TCGA-BH-A18Q-01	7.785	Primary Tumor	TCGA	Breast
TCGA-A8-A082-01	TCGA-A8-A082-01	7.784	Primary Tumor	TCGA	Breast
TCGA-AC-A3W7-01	TCGA-AC-A3W7-01	7.781	Primary Tumor	TCGA	Breast
TCGA-C8-A131-01	TCGA-C8-A131-01	7.78	Primary Tumor	TCGA	Breast
TCGA-D8-A1JT-01	TCGA-D8-A1JT-01	7.774	Primary Tumor	TCGA	Breast
TCGA-E2-A14N-01	TCGA-E2-A14N-01	7.774	Primary Tumor	TCGA	Breast
TCGA-E2-A15H-01	TCGA-E2-A15H-01	7.774	Primary Tumor	TCGA	Breast
TCGA-E2-A1IK-01	TCGA-E2-A1IK-01	7.774	Primary Tumor	TCGA	Breast
TCGA-E2-A573-01	TCGA-E2-A573-01	7.772	Primary Tumor	TCGA	Breast
TCGA-AN-A03Y-01	TCGA-AN-A03Y-01	7.77	Primary Tumor	TCGA	Breast
TCGA-AN-A0FZ-01	TCGA-AN-A0FZ-01	7.77	Primary Tumor	TCGA	Breast
TCGA-C8-A3M8-01	TCGA-C8-A3M8-01	7.769	Primary Tumor	TCGA	Breast
TCGA-EW-A1OV-01	TCGA-EW-A1OV-01	7.764	Primary Tumor	TCGA	Breast
TCGA-A7-A6VX-01	TCGA-A7-A6VX-01	7.763	Primary Tumor	TCGA	Breast
TCGA-AN-A046-01	TCGA-AN-A046-01	7.763	Primary Tumor	TCGA	Breast
TCGA-AN-A03X-01	TCGA-AN-A03X-01	7.762	Primary Tumor	TCGA	Breast
TCGA-A8-A09I-01	TCGA-A8-A09I-01	7.76	Primary Tumor	TCGA	Breast
TCGA-EW-A423-01	TCGA-EW-A423-01	7.76	Primary Tumor	TCGA	Breast
TCGA-A7-A5ZV-01	TCGA-A7-A5ZV-01	7.758	Primary Tumor	TCGA	Breast
TCGA-BH-A0DL-01	TCGA-BH-A0DL-01	7.755	Primary Tumor	TCGA	Breast
TCGA-A1-A0SG-01	TCGA-A1-A0SG-01	7.754	Primary Tumor	TCGA	Breast
TCGA-AQ-A1H3-01	TCGA-AQ-A1H3-01	7.753	Primary Tumor	TCGA	Breast
TCGA-BH-A0BT-01	TCGA-BH-A0BT-01	7.753	Primary Tumor	TCGA	Breast
TCGA-A8-A084-01	TCGA-A8-A084-01	7.749	Primary Tumor	TCGA	Breast
TCGA-A8-A092-01	TCGA-A8-A092-01	7.747	Primary Tumor	TCGA	Breast
