sample	samples	DFNA5 (average)
TCGA-76-6664-01	TCGA-76-6664-01	0.4433
TCGA-06-0743-01	TCGA-06-0743-01	0.443
TCGA-12-0703-01	TCGA-12-0703-01	0.44279999999999997
TCGA-14-1795-01	TCGA-14-1795-01	0.442
TCGA-12-0653-01	TCGA-12-0653-01	0.4412
TCGA-06-0166-01	TCGA-06-0166-01	0.44075000000000003
TCGA-41-3393-01	TCGA-41-3393-01	0.4398
TCGA-4W-AA9R-01	TCGA-4W-AA9R-01	0.4395
TCGA-02-0440-01	TCGA-02-0440-01	0.4377
TCGA-27-2518-01	TCGA-27-2518-01	0.4377
TCGA-02-0071-01	TCGA-02-0071-01	0.4375
TCGA-19-0963-01	TCGA-19-0963-01	0.4371
TCGA-12-0819-01	TCGA-12-0819-01	0.4362
TCGA-74-6575-01	TCGA-74-6575-01	0.4357
TCGA-06-0649-01	TCGA-06-0649-01	0.43529999999999996
TCGA-06-0150-01	TCGA-06-0150-01	0.4333
TCGA-06-5414-01	TCGA-06-5414-01	0.4321
TCGA-RR-A6KC-01	TCGA-RR-A6KC-01	0.4307
TCGA-06-A7TK-01	TCGA-06-A7TK-01	0.4277
TCGA-19-4065-01	TCGA-19-4065-01	0.4265
TCGA-19-5958-01	TCGA-19-5958-01	0.4265
TCGA-06-6388-01	TCGA-06-6388-01	0.4262
TCGA-26-1440-01	TCGA-26-1440-01	0.4258
TCGA-76-6282-01	TCGA-76-6282-01	0.4244
TCGA-06-0397-01	TCGA-06-0397-01	0.4235
TCGA-02-0064-01	TCGA-02-0064-01	0.4234
TCGA-14-1450-01	TCGA-14-1450-01	0.4232
TCGA-14-1396-01	TCGA-14-1396-01	0.423
TCGA-19-1389-02	TCGA-19-1389-02	0.4226
TCGA-12-0656-01	TCGA-12-0656-01	0.4225
TCGA-02-0115-01	TCGA-02-0115-01	0.4208
TCGA-06-0133-01	TCGA-06-0133-01	0.4190999999999999
TCGA-06-0879-01	TCGA-06-0879-01	0.4171
TCGA-32-1970-01	TCGA-32-1970-01	0.4171
TCGA-02-0074-01	TCGA-02-0074-01	0.416
TCGA-06-0124-01	TCGA-06-0124-01	0.41550000000000004
