sample	samples	DFNA5	_sample_type	_study	_primary_site
GTEX-RTLS-2326-SM-46MUH	GTEX-RTLS-2326-SM-46MUH	9.144	Normal Tissue	GTEX	Ovary
GTEX-139D8-2426-SM-5KM3A	GTEX-139D8-2426-SM-5KM3A	9.141	Normal Tissue	GTEX	Ovary
TCGA-31-1959-01	TCGA-31-1959-01	9.139	Primary Tumor	TCGA	Ovary
TCGA-04-1331-01	TCGA-04-1331-01	9.081	Primary Tumor	TCGA	Ovary
TCGA-61-1900-01	TCGA-61-1900-01	9.014	Primary Tumor	TCGA	Ovary
TCGA-24-2027-01	TCGA-24-2027-01	9.013	Primary Tumor	TCGA	Ovary
TCGA-61-1733-01	TCGA-61-1733-01	9.01	Primary Tumor	TCGA	Ovary
TCGA-61-1995-01	TCGA-61-1995-01	9.008	Primary Tumor	TCGA	Ovary
TCGA-09-1673-01	TCGA-09-1673-01	9.003	Primary Tumor	TCGA	Ovary
GTEX-ZV6S-1426-SM-59HKX	GTEX-ZV6S-1426-SM-59HKX	9	Normal Tissue	GTEX	Ovary
GTEX-WWYW-2726-SM-4MVOP	GTEX-WWYW-2726-SM-4MVOP	8.993	Normal Tissue	GTEX	Ovary
TCGA-13-1509-01	TCGA-13-1509-01	8.987	Primary Tumor	TCGA	Ovary
TCGA-29-1698-01	TCGA-29-1698-01	8.981	Primary Tumor	TCGA	Ovary
TCGA-25-1320-01	TCGA-25-1320-01	8.979	Primary Tumor	TCGA	Ovary
TCGA-24-1434-01	TCGA-24-1434-01	8.976	Primary Tumor	TCGA	Ovary
TCGA-25-1630-01	TCGA-25-1630-01	8.97	Primary Tumor	TCGA	Ovary
TCGA-24-1422-01	TCGA-24-1422-01	8.958	Primary Tumor	TCGA	Ovary
TCGA-25-1328-01	TCGA-25-1328-01	8.928	Primary Tumor	TCGA	Ovary
TCGA-04-1519-01	TCGA-04-1519-01	8.91	Primary Tumor	TCGA	Ovary
TCGA-24-2254-01	TCGA-24-2254-01	8.889	Primary Tumor	TCGA	Ovary
TCGA-04-1514-01	TCGA-04-1514-01	8.871	Primary Tumor	TCGA	Ovary
TCGA-31-1951-01	TCGA-31-1951-01	8.861	Primary Tumor	TCGA	Ovary
TCGA-13-0901-01	TCGA-13-0901-01	8.831	Primary Tumor	TCGA	Ovary
TCGA-61-2016-01	TCGA-61-2016-01	8.828	Primary Tumor	TCGA	Ovary
TCGA-31-1950-01	TCGA-31-1950-01	8.82	Primary Tumor	TCGA	Ovary
TCGA-24-1546-01	TCGA-24-1546-01	8.813	Primary Tumor	TCGA	Ovary
TCGA-24-1923-01	TCGA-24-1923-01	8.797	Primary Tumor	TCGA	Ovary
TCGA-61-2113-01	TCGA-61-2113-01	8.793	Primary Tumor	TCGA	Ovary
TCGA-24-2020-01	TCGA-24-2020-01	8.79	Primary Tumor	TCGA	Ovary
TCGA-31-1956-01	TCGA-31-1956-01	8.783	Primary Tumor	TCGA	Ovary
TCGA-23-1809-01	TCGA-23-1809-01	8.779	Primary Tumor	TCGA	Ovary
TCGA-13-0911-01	TCGA-13-0911-01	8.777	Primary Tumor	TCGA	Ovary
TCGA-25-1326-01	TCGA-25-1326-01	8.772	Primary Tumor	TCGA	Ovary
TCGA-61-2094-01	TCGA-61-2094-01	8.768	Primary Tumor	TCGA	Ovary
TCGA-24-1463-01	TCGA-24-1463-01	8.754	Primary Tumor	TCGA	Ovary
TCGA-24-1567-01	TCGA-24-1567-01	8.733	Primary Tumor	TCGA	Ovary
TCGA-24-0970-01	TCGA-24-0970-01	8.728	Primary Tumor	TCGA	Ovary
TCGA-61-2097-01	TCGA-61-2097-01	8.711	Primary Tumor	TCGA	Ovary
TCGA-29-1699-01	TCGA-29-1699-01	8.694	Primary Tumor	TCGA	Ovary
TCGA-25-1635-01	TCGA-25-1635-01	8.688	Primary Tumor	TCGA	Ovary
TCGA-25-2398-01	TCGA-25-2398-01	8.681	Primary Tumor	TCGA	Ovary
TCGA-24-2036-01	TCGA-24-2036-01	8.677	Primary Tumor	TCGA	Ovary
TCGA-25-1623-01	TCGA-25-1623-01	8.675	Primary Tumor	TCGA	Ovary
TCGA-31-1946-01	TCGA-31-1946-01	8.671	Primary Tumor	TCGA	Ovary
TCGA-30-1891-01	TCGA-30-1891-01	8.657	Primary Tumor	TCGA	Ovary
TCGA-13-0886-01	TCGA-13-0886-01	8.65	Primary Tumor	TCGA	Ovary
TCGA-24-2024-01	TCGA-24-2024-01	8.634	Primary Tumor	TCGA	Ovary
TCGA-61-2110-01	TCGA-61-2110-01	8.631	Primary Tumor	TCGA	Ovary
GTEX-S4UY-1026-SM-4AD53	GTEX-S4UY-1026-SM-4AD53	8.605	Normal Tissue	GTEX	Ovary
TCGA-29-1711-01	TCGA-29-1711-01	8.599	Primary Tumor	TCGA	Ovary
TCGA-25-1628-01	TCGA-25-1628-01	8.596	Primary Tumor	TCGA	Ovary
TCGA-13-0765-01	TCGA-13-0765-01	8.592	Primary Tumor	TCGA	Ovary
TCGA-04-1530-01	TCGA-04-1530-01	8.586	Primary Tumor	TCGA	Ovary
TCGA-24-2267-01	TCGA-24-2267-01	8.585	Primary Tumor	TCGA	Ovary
TCGA-61-1998-01	TCGA-61-1998-01	8.574	Primary Tumor	TCGA	Ovary
TCGA-24-1849-01	TCGA-24-1849-01	8.57	Primary Tumor	TCGA	Ovary
TCGA-13-0799-01	TCGA-13-0799-01	8.562	Primary Tumor	TCGA	Ovary
TCGA-24-1428-01	TCGA-24-1428-01	8.561	Primary Tumor	TCGA	Ovary
TCGA-25-1313-01	TCGA-25-1313-01	8.541	Primary Tumor	TCGA	Ovary
TCGA-09-0366-01	TCGA-09-0366-01	8.535	Primary Tumor	TCGA	Ovary
TCGA-23-1114-01	TCGA-23-1114-01	8.524	Primary Tumor	TCGA	Ovary
TCGA-24-1843-01	TCGA-24-1843-01	8.518	Primary Tumor	TCGA	Ovary
TCGA-24-1551-01	TCGA-24-1551-01	8.505	Primary Tumor	TCGA	Ovary
TCGA-24-1930-01	TCGA-24-1930-01	8.491	Primary Tumor	TCGA	Ovary
TCGA-61-2008-01	TCGA-61-2008-01	8.482	Primary Tumor	TCGA	Ovary
TCGA-24-1474-01	TCGA-24-1474-01	8.472	Primary Tumor	TCGA	Ovary
TCGA-13-1405-01	TCGA-13-1405-01	8.466	Primary Tumor	TCGA	Ovary
TCGA-24-1470-01	TCGA-24-1470-01	8.452	Primary Tumor	TCGA	Ovary
TCGA-13-0908-01	TCGA-13-0908-01	8.445	Primary Tumor	TCGA	Ovary
TCGA-04-1536-01	TCGA-04-1536-01	8.435	Primary Tumor	TCGA	Ovary
TCGA-25-2401-01	TCGA-25-2401-01	8.432	Primary Tumor	TCGA	Ovary
TCGA-25-2409-01	TCGA-25-2409-01	8.42	Primary Tumor	TCGA	Ovary
TCGA-29-1695-01	TCGA-29-1695-01	8.412	Primary Tumor	TCGA	Ovary
TCGA-23-1116-01	TCGA-23-1116-01	8.402	Primary Tumor	TCGA	Ovary
TCGA-24-1846-01	TCGA-24-1846-01	8.393	Primary Tumor	TCGA	Ovary
TCGA-13-0883-01	TCGA-13-0883-01	8.385	Primary Tumor	TCGA	Ovary
TCGA-61-1919-01	TCGA-61-1919-01	8.378	Primary Tumor	TCGA	Ovary
TCGA-59-2354-01	TCGA-59-2354-01	8.372	Primary Tumor	TCGA	Ovary
TCGA-61-1737-01	TCGA-61-1737-01	8.359	Primary Tumor	TCGA	Ovary
TCGA-24-2026-01	TCGA-24-2026-01	8.357	Primary Tumor	TCGA	Ovary
TCGA-24-1553-01	TCGA-24-1553-01	8.352	Primary Tumor	TCGA	Ovary
TCGA-13-0768-01	TCGA-13-0768-01	8.335	Primary Tumor	TCGA	Ovary
TCGA-13-1489-01	TCGA-13-1489-01	8.334	Primary Tumor	TCGA	Ovary
TCGA-25-1631-01	TCGA-25-1631-01	8.331	Primary Tumor	TCGA	Ovary
TCGA-36-1576-01	TCGA-36-1576-01	8.325	Primary Tumor	TCGA	Ovary
TCGA-24-0975-01	TCGA-24-0975-01	8.324	Primary Tumor	TCGA	Ovary
TCGA-29-1774-01	TCGA-29-1774-01	8.323	Primary Tumor	TCGA	Ovary
TCGA-09-2053-01	TCGA-09-2053-01	8.32	Primary Tumor	TCGA	Ovary
TCGA-23-1026-01	TCGA-23-1026-01	8.31	Primary Tumor	TCGA	Ovary
TCGA-59-2350-01	TCGA-59-2350-01	8.309	Primary Tumor	TCGA	Ovary
TCGA-09-1670-01	TCGA-09-1670-01	8.305	Primary Tumor	TCGA	Ovary
TCGA-13-0720-01	TCGA-13-0720-01	8.274	Primary Tumor	TCGA	Ovary
TCGA-24-1557-01	TCGA-24-1557-01	8.253	Primary Tumor	TCGA	Ovary
TCGA-04-1332-01	TCGA-04-1332-01	8.252	Primary Tumor	TCGA	Ovary
TCGA-29-1694-01	TCGA-29-1694-01	8.24	Primary Tumor	TCGA	Ovary
TCGA-25-2042-01	TCGA-25-2042-01	8.238	Primary Tumor	TCGA	Ovary
TCGA-61-1736-01	TCGA-61-1736-01	8.237	Primary Tumor	TCGA	Ovary
TCGA-09-0369-01	TCGA-09-0369-01	8.234	Primary Tumor	TCGA	Ovary
TCGA-23-2077-01	TCGA-23-2077-01	8.231	Primary Tumor	TCGA	Ovary
TCGA-24-2281-01	TCGA-24-2281-01	8.223	Primary Tumor	TCGA	Ovary
TCGA-24-1563-01	TCGA-24-1563-01	8.212	Primary Tumor	TCGA	Ovary
TCGA-23-1032-01	TCGA-23-1032-01	8.211	Primary Tumor	TCGA	Ovary
TCGA-25-1315-01	TCGA-25-1315-01	8.208	Primary Tumor	TCGA	Ovary
TCGA-13-0801-01	TCGA-13-0801-01	8.2	Primary Tumor	TCGA	Ovary
TCGA-57-1994-01	TCGA-57-1994-01	8.198	Primary Tumor	TCGA	Ovary
TCGA-10-0927-01	TCGA-10-0927-01	8.194	Primary Tumor	TCGA	Ovary
TCGA-57-1993-01	TCGA-57-1993-01	8.186	Primary Tumor	TCGA	Ovary
TCGA-09-1668-01	TCGA-09-1668-01	8.182	Primary Tumor	TCGA	Ovary
TCGA-13-1507-01	TCGA-13-1507-01	8.182	Primary Tumor	TCGA	Ovary
TCGA-25-1625-01	TCGA-25-1625-01	8.173	Primary Tumor	TCGA	Ovary
